title,content
快訊／台股兔年開紅盤「漲逾500點」！台積電暴漲39元至542元,記者戴玉翔／台北報導受全球升息步伐放緩、經濟軟著陸預期升溫影響，全球主要股市在台股封關期間多數上漲。美股3大指數27日全面上揚，道瓊指數終盤上漲28.67點，漲幅0.084%，收在33978.08點。那斯達克綜合指數終盤上漲109.30點，漲幅0.95%，收在11621.71點。標普500指數終盤上漲10.13點，漲幅0.25%，收在4070.56點。台股今（30）日開盤漲359點，開在15291點，開盤1分鐘後漲533點，指數來到15465點。台積電（2330）開盤漲39元，漲幅7.75%，股價來到542元。聯發科（2454）開盤漲41元，漲幅5.91%，股價來到734元。鴻 海（2317）開盤漲1.5元，漲幅1.53%，股價來到99.6元。大立光（3008）開盤漲55元，漲幅2.65%，股價來到2130元。聯 電（2303）開盤漲2元，漲幅4.35%，股價來到47.95元。永誠國際投顧分析師許豐祿盤前分析，新春開紅盤在國際股市強力反彈下，今天指數大漲是必然，從美股反彈最大的費半指數來看，今年以來反彈超過16%，也代表過去一年被壓抑的結果，今年的台股電子股指數第一季高點有機會出現在月底，當下就是利多賣觀光旅遊、航運、貨運等等傳產，以及節前受惠股，全力買進財報預期能維持高峰或是利空出盡的電子族群。台積電今天大漲表現後，應該是走橫盤震盪，逢高調節，資金要轉進相關半導體供應鏈，首選是上品，IC設計不可或缺首選是創意，電動車代表特斯拉，今年以來反彈超過6成，電動車供應鏈會具備極大轉機，鴻海組裝事業擴大電動車代工可期相關供應鏈可注意富鼎、普誠，充電樁看建碁，其餘特別題材看個別股表現。
台股/台股開工好采頭！大漲500點市值破48兆大關 台積電漲7%市值增1兆元,"台股今（30）日開工，開盤先大漲358點，漲幅2.4%，市值飆破48兆元大關，後更大漲逾532點，創下史上第五大單日漲點紀錄。其中最大權值股台積電（2330）更飆漲39元站上542元，貢獻指數326點，本身市值也大增上兆元，衝破14兆元大關，集中市場開紅盤日就展現強勁氣勢，金兔年首個交易日就博得好采頭。台股虎年封關日收14,932點，春節休市封關期間，美高科技股氣勢如虹，費城半導體指數大漲5.1%、那斯達克指數也勁揚4.9%，台積電ADR更漲逾7%。電動車龍頭特斯拉則漲逾45%。台股今日也展開補漲與軋空手行情，半導體與車用族群受激勵。台股今開盤後一度大漲501點，突破年線15,390點位置，更創下史上第5大漲點紀錄。加權指數金虎年封關日市值為46兆7497元，盤中一度上探48兆元大關，達到48.31兆元，增加1.5兆元之多。護國神山台積電在美ADR春節休市期間大漲逾7%，與現股溢價也超過12%，今早同樣紅盤開出，從金虎年封關日收盤503元，開盤漲到542元，漲 幅7.75%。金虎年封關日台積電市值為13兆429億元，一度市值衝破14元大關，到14.05兆元，較封關日增加上兆元。"
兔年開紅盤！台股終場大漲560點收復年線 台積電漲40元收最高543元,台股經歷12天的休市後，今（30）日兔年開紅盤，以15291.53點開出，上漲358.6點，台積電以542元開出，上漲39元，在台積電領軍下，電傳金齊漲，指數開高走高，早盤一度大漲超過500點，尾盤指數再往上攻，終場上漲560.89點、漲幅3.76%，收在最高點15493.82點，重返萬五並一舉收復年線。台股休市期間美股表現漲多跌少，其中半導體股、科技股走勢較強，台積電ADR更是上漲超過7%。今日台積電上演補漲行情，開盤跳空強彈39元，來到542元，終場上漲40元、漲幅7.95%，收在543元，是繼去年6月初以來，近7月的高點。聯電也站上48元，收在48.8元；聯發科上漲46元、漲幅超過6%，收在739元。責任編輯／林湘芸
台積電開盤大漲39元衝542元 台股漲逾500點重返年線,民視新聞／王嘉琳、張庭翔、SNG 台北報導台股金兔年開紅盤！因為過去12天休市期間美股大漲，台積電ADR漲7.49％，因此今天（1月30日）出現補漲行情！開盤由台積電領軍跳空到542元、大漲39元，股價創7個多月新高，貢獻大盤322點，加權指數最高攻上15465點重返年線，大漲532點、創歷史第七大漲點。財神爺送上金元寶、發糕，象徵「加官進祿」，金兔年台股開盤前，證券公司跳加官增加喜氣財氣、好運氣。有了財神爺加持台股表現不俗，一開盤就大漲358點，指數站上萬五。過去12天台股休市期間，美股漲多跌少，累積的能量都在開盤日一口氣噴出，電子權值股漲勢凌厲，尤其台積電ADR累積漲7.49％，護國神山開工就發威，大漲39元、跳空來到542元，股價創7個多月新高，市值攀高到14.05兆，貢獻大盤322點。加權指數光榮重返萬五關卡，最高攻上15465點，大漲532點，是歷史第七大漲點。統一投顧董事長黎方國提及，「台股封關期間國際股市大漲，而且FED升息力度，這次應該只會升一碼，整個市場對升息預期有點放緩，加上中國解禁整個消費力道出來，有利於台股開紅盤表現。」統一投顧總經理廖婉婷說，「除了特斯拉跟台積電之外，HPC概念股也會有機會表現。」第一金投顧董事長陳奕光說，「整體一次漲完的情況下，2月份可能會有比較明顯拉回，但拉回我們認為應該萬五有守。」新台幣也開紅盤，早盤強升2.44角、一度來到30.124元，創5個月來新高。不過專家也提醒，短線升息力道趨緩，第一季過後還是得面對谷底來臨，全年預期先蹲後跳，但金兔年開紅盤，已經替投資人注入一劑強心針。
台積電兔年開紅盤衝543元 大漲40元創紀錄,（中央社記者張建中新竹30日電）晶圓代工廠台積電今天股價表現強勁，終場收在543元，大漲40元，上漲金額創新高，單日市值激增新台幣1.03兆元。台股今天兔年開紅盤，因春節期間國際股市多數走高，那斯達克指數累計勁揚4.9%，費城半導體指數上揚5.16%，大盤展開補漲走勢，指數終場收在15493.82點，大漲560.89點。台積電美國存託憑證（ADR）於春節期間大漲7.49%，台積電今天在外資、投信及自營商同步買超共計8萬餘張推升下，股價攻上543元，上揚40元，上漲金額創新高，漲幅7.95%，為史上第4高，僅次於2020年7月27日的9.97%、2020年3月20日的8.87%及2022年11月11日的8.34%。台積電單日市值激增1.03兆元，攀高至14.08兆元，貢獻大盤331點，為盤面指標。因終端市場需求疲軟及供應鏈持續調節庫存影響，台積電上半年美元營收將較去年同期下滑中至高個位數百分比（約4%至9%），全年美元營收仍將微幅成長，今年營運表現將呈先蹲後跳態勢。（編輯：趙蔚蘭）1120130
台積電早盤重挫14元 今年來首次跌破5日線,"美股經過近期強彈後，上周五出現漲多拉回，尤其費城半導體指數更收黑跌1.9％，台積電美股ADR更重挫2.06％，致台股今（6）日開盤後，台積電（2330）早盤重挫14元至528元，跌破今年來一路沿著5日線強勢上攻的重要短線支撐。台積電今天一早以532元跌10元開盤，隨後股價一路弱勢盤整，早盤最低觸及528元、大跌14元，聯發科及日月光投控等半導體股均大跌，半導體類股指數跌幅約2.2％，拖累台股早盤重挫170多點。台積電今年1月3日站上5日線，之後股價從波段低點442.5元，強勢沿著5日均線向上，今天最低來到528元，為今年來首次摜破5日線（約532.6元）。據統計，今年來到2月3日止，台股有16個交易日，外資僅有4天賣超，其餘14個交易日都偏多操作買超，1月13日更單日大買超49,026張，累計今年來共買超24萬7,273張，金額達1,271.35億元。外資扮演這波台積電股價大漲百元的重要關鍵。"
美股上周全收黑 台積電開盤大跌 台股失守15500點,台北市 / 陳奕寧 王士凱 報導受到美股上周收盤下跌影響，台股一早開盤大跌超過164點，台積電也一度下跌12點。不過今年台積電的持股大戶數不減反增，顯示外資對於台積電中長期成長，仍然相當看好。分析師認為，上半年擺脫庫存陰霾後，下半年半導體等相關產業鏈的業績，有望接續回升。周一開盤，不少台股股民恐怕不太開心，受到上周美股走低和升息預期影響，台股早盤一度下跌164點，護國神山台積電跳空至532元，電子股普遍綠油油，投顧分析師王榮旭說：「我們看到融資餘額在今年以來，是呈現下降的情況，今年以來已經降了接近9千張，這代表就是說散戶的一個部分，其實並沒有參與到今年以來，台積電大漲接近2成的一個走勢。」法人買盤第一季客觀條件依然差，內資保守，散戶沒有參與到台積大漲2成的走勢。雖然台積電今年股東戶大減10萬多人，不過持股大戶數卻是不減反增，專家認為台積電擁有先進製程，是全球市佔率第一的半導體廠，讓外資願意布局中長線，投顧分析師王榮旭說：「外資的部分今年以來是買超了，台積電超過20萬張以上，代表台積電的一個籌碼流向，是由散戶流向外資的手中。」外資買台積電超過20萬，大戶籌碼也增加，布局台積電基本面的成績，根據台積電第四季法說會，預期上半年調整庫存後，下半年有望帶動業績上漲，專家分析買盤將從上游端的台積電聯電等半導體代工開始回升，電子零件產業則要再等等。投顧分析師王榮旭說：「今年其實下半年也有一些，國際大廠晶片大廠會有新的產品，IC設計或是車用的部分車電股的部分，我認為也都可以留意。」專家指出台股市場深受外資動向影響，如果美元持續走弱台股有望走高，而台積電依舊會是外資的重點標的，護國神山今年的表現值得期待。<BR>
台股／外資最愛聯電、台積電單周回補逾10萬張 鴻海遭賣8.8萬張最多,"證交所統計，上周（2023/1/30~2023/2/3）外資在集中市場買超為1,195.46億元，買超最多的前三名上市公司依序為聯電(2303)、台積電(2330)與華新(1605)。另統計自2023年年初至2月3日止，外資累計買超為2,451.48億元。外資總持有股票（包括原始股東持股及自集中市場買進持股）市值為20兆1,673.27億元新台幣，占全體上市股票市值的41.33%，較1月17日的18兆9,831.97億元新台幣，增加1兆1,841.30億元。就個股比較部分，外資自集中市場買超最多的前三名上市公司依序為第一名聯電，買超17萬6,229張；第二名台積電買超11萬3,779張；第三名華新買超5萬3,076張。外資自集中市場賣超最多的前三名上市公司，第一名鴻海(2317)賣超8萬8,343張；第二名中信金(2891)賣超6萬2,855張，第三名第一金(2892)賣超5萬4,714張。"
台積電跌16元收526 台股失守5日線跌209點,民視新聞／葉為襄、張庭翔台北報導台股今天開低走低，指數不敵賣壓，終場下跌209點，外資終結連14買，三大法人也賣超164億，導致台積電下挫16元以526元作收，分析師說，近期台股走勢、除了看美元是否走弱，2月15日巴菲特公布旗下基金報告也是一大指標。
巴菲特減持台積電！專家估「1類股」有望上漲 全場笑翻：就這4檔，快買,財經中心／蕭宥宸報導股神巴菲特大砍台積電ADR持股，影響台積電15日股價急跌，台股大盤連帶大跌逾200點。有股市分析師指出，巴菲特去年第3季才買進的台積電，到了第4季就賣出，他也因此開玩笑地說，「我預估今日眼鏡股有機會上漲」，因為巴菲特「隔季沖」的操作讓不少人跌破眼鏡。波克夏昨（15）日公告去年Q4持股明細，重砍台積電5176萬股、減持幅度高達86％。而受到利空消息影響，台積電15日股價下跌20元或3.67％，以525元作收；台股大盤指數也連帶開低走低，盤中甚至一度摜破15400點關卡。股市分析師陳相州透過臉書粉專「股添樂 股市新觀點」發文，台積電ADR14日夜盤後由紅翻黑，跌了5％。原因是巴菲特第4季賣出台積電86％持股部位。想不到巴菲特去年第3季買進台積電，第4季就賣出台積電，這番「隔季沖」的操作，周期也只比菜市場大媽久了一些，倒是咱台灣股民有耐心多了。陳相州開玩笑地說，「我預估今日眼鏡股有機會上漲，怎麼說呢？…因為不少人跌破眼鏡了」。他並指出，台股15日下跌220點，單一檔台積電就貢獻了160點，「這讓我們見識到一個90歲的老人，是如何憑一己之力擊潰台股多軍，留下『巴菲特缺口』」。貼文一出，網友紛紛留言，「一堆以為股神跟他們一樣要存台積電…殊不知人家本來就沒有要存，套個利而已」、「已經很佛心了，幫忙守著台股很久了」、「巴菲特也是短線仔」、「巴菲特語錄：如果你不願持有一檔股票10年，最好連1季也不要持有」。貼文也逗樂不少網友，也跟著開玩笑地表示，「5312寶島科就是眼鏡股，快買」、「3218大學光，收到打收到」、「眼鏡概念股：寶島科、晶碩、精華、大學光」、「眼鏡行大排長龍」、「實在很不夠意思！也不順便附上眼鏡股的代號」。x 三立新聞網提醒您：內容僅供參考，投資人於決策時應審慎評估風險，並就投資結果自行負責。<BR> 投資一定有風險，基金投資有賺有賠，申購前應詳閱公開說明書。
巴菲特賣股後止血 台積電上漲6元至531 台股勁揚逾百點,美國公布1月零售數據增幅高於預期，美股主要指數15日均收漲，在台積電止跌反彈帶動下，台股今(16)日上漲逾百點，約來到15535.28點。受股神巴菲特旗下投資公司波克夏減持及知名避險基金老虎全球全數出清影響，台積電ADR大跌5.31％，收92.76美元。台股現貨方面，早盤逆勢上漲6元至531元，聯電漲逾1%至50.5元，電子股表現強勢。法人指出，當初巴菲特大買台積電ADR，台積電帶動台股大漲，僅是一、兩天的短線行情，此次出脫持股應也是短線影響，台股仍將回歸基本面。道瓊工業指數上揚38.78點，收34128.05點；標準普爾指數揚升11.47點，收4147.60點；那斯達克指數上漲110.44點，收12070.59點。
台積電漲3元至528！台股開盤上衝90點 回歸15500,「股神」巴菲特旗下的波克夏公司（Berkshire Hathaway）大砍台積電86%持股，台積電ADR今晨收盤再下跌5.31%；1月CPI年增下降，但仍高於市場預期，美股開低收高。台股今（16）日開盤15474.46點，漲41.57點，開盤3分鐘後漲幅擴大至94點。台積電（2330）開盤漲3元，來到528元。台積電（2330）今開盤漲3元，漲幅0.57%，來到528元。鴻海（2317）開盤漲0.5元，漲幅0.48%，來103元。聯發科（2454）開盤漲6元，漲幅0.84%，來到716元。大立光（3008）開盤漲10元，漲幅0.44%，來到2250元。美股今晨收盤，道瓊指數上漲38.78點（0.11%），收34128.05點；那斯達克指數上漲110.45點（0.92%），收 12070.59點。標普500指數上漲11.47點（0.28%），收4147.6點。費城半導體指數上漲11.44點（0.37%），收3133.07點。
